wall_ts,node,hr,spo2,body_temp,env_temp,gas_ppm,rssi_master
1778033636.847685,1,,,37.0,,,-63
1778033637.354212,1,,,37.04,,,-65
1778033637.859089,1,,,37.04,,,-64
1778033638.364613,1,,,37.08,,,-63
1778033638.8711941,1,,,37.08,,,-65
1778033639.378453,1,,,37.12,,,-64
1778033639.8843021,1,,,37.12,,,-64
1778033640.391694,1,,,37.1,,,-62
1778033640.8993,1,,,37.1,,,-63
1778033641.3046882,1,,,37.08,,,-64
1778033641.811753,1,,,37.08,,,-63
1778033642.31927,1,,,37.06,,,-64
1778033642.82656,1,,,37.06,,,-65
1778033643.334093,1,,,37.04,,,-64
1778033643.840107,1,,,37.04,,,-64
1778033644.347344,1,,,37.03,,,-65
1778033644.8537998,1,,,37.03,,,-63
1778033645.373445,1,,,37.01,,,-62
1778033645.87968,1,,,37.01,,,-63
1778033646.384622,1,,,37.0,,,-66
1778033646.8902972,1,,,37.0,,,-63
1778033647.394782,1,,,37.0,,,-67
1778033647.913024,1,,,37.0,,,-64
1778033648.317921,1,,,37.01,,,-65
1778033648.8257978,1,,,37.01,,,-63
1778033649.3354208,1,,,37.04,,,-63
1778033649.8450181,1,,,37.04,,,-64
1778033650.367819,1,,,37.08,,,-64
1778033650.879402,1,,,37.08,,,-64
1778033651.3905568,1,,,37.02,,,-64
1778033651.801056,1,,,37.02,,,-65
1778033652.338202,1,,,36.97,,,-63
1778033652.861139,1,,,36.97,,,-64
1778033653.384759,1,,,36.93,,,-65
1778033653.8114262,1,,,36.93,,,-64
1778033654.325687,1,,,36.98,,,-64
1778033654.852752,1,,,36.98,,,-64
1778033655.370023,1,,,37.02,,,-65
1778033655.877548,1,,,37.02,,,-63
1778033656.383382,1,,,37.04,,,-64
1778033656.8902988,1,,,37.04,,,-66
1778033657.396354,1,,,37.0,,,-63
1778033657.802249,1,,,37.0,,,-63
1778033658.3092852,1,,,36.96,,,-56
1778033658.816013,1,,,36.96,,,-58
1778033659.32307,1,,,36.93,,,-62
1778033659.829851,1,,,36.93,,,-64
1778033660.336087,1,,89.34,36.95,,,-63
1778033660.856214,1,,89.34,36.95,,,-61
1778033661.361459,1,,98.82,36.96,,,-62
1778033661.8689651,1,,98.82,36.96,,,-54
1778033662.374866,1,,89.31,36.98,,,-53
1778033662.882226,1,,89.31,36.98,,,-54
1778033663.3889742,1,,88.69,36.99,,,-53
1778033663.894827,1,,88.69,36.99,,,-53
1778033664.401398,1,,93.23,37.0,,,-53
1778033664.807146,1,,93.23,37.0,,,-53
1778033665.319932,1,,88.74,37.02,,,-54
1778033665.824738,1,,88.74,37.02,,,-53
1778033666.332855,1,,90.87,37.03,,,-53
1778033666.8403652,1,,90.87,37.03,,,-53
1778033667.3482509,1,,98.1,37.03,,,-54
1778033667.85831,1,,98.1,37.03,,,-53
1778033668.368489,1,,95.71,37.02,,,-54
1778033668.8803022,1,,95.71,37.02,,,-53
1778033669.3961449,1,,95.64,37.01,,,-54
1778033669.805842,1,,95.64,37.01,,,-54
1778033670.318929,1,,93.41,37.0,,,-54
1778033670.835784,1,,93.41,37.0,,,-52
1778033671.3581781,1,,90.27,36.99,,,-53
1778033671.892477,1,,90.27,36.99,,,-53
1778033672.339164,1,,95.22,36.99,,,-53
1778033672.8668349,1,,95.22,36.99,,,-53
1778033673.3947918,1,,94.08,36.98,,,-53
1778033673.818134,1,,94.08,36.98,,,-52
1778033674.344645,1,,97.11,37.0,,,-51
1778033674.802897,1,,97.11,37.0,,,-51
1778033675.330645,1,,98.95,37.02,,,-51
1778033675.8594098,1,,98.95,37.02,,,-52
1778033676.363091,1,,96.86,37.04,,,-52
1778033676.888021,1,,96.86,37.04,,,-52
1778033677.310677,1,,90.49,37.06,,,-52
1778033677.831657,1,,90.49,37.06,,,-52
1778033678.3610518,1,,95.33,37.07,,,-51
1778033678.8870568,1,,95.33,37.07,,,-52
1778033679.3054268,1,,92.11,37.07,,,-52
1778033679.845048,1,,92.11,37.07,,,-52
1778033680.3521652,1,,97.28,37.06,,,-52
1778033680.848908,1,,97.28,37.06,,,-51
1778033681.355219,1,,94.28,37.05,,,-52
1778033681.8781781,1,,94.28,37.05,,,-51
1778033682.323809,1,,96.73,37.05,,,-52
1778033682.8777971,1,,96.73,37.05,,,-52
1778033683.385056,1,,95.0,37.04,,,-52
1778033683.890267,1,,95.0,37.04,,,-52
1778033684.396895,1,,94.78,37.03,,,-53
1778033684.812178,1,,94.78,37.03,,,-56
1778033685.31834,1,,,37.03,,,-60
1778033685.8380852,1,,,37.03,,,-56
1778033686.345263,1,,,37.03,,,-47
1778033686.864786,1,,,37.03,,,-55
1778033687.382646,1,,,37.03,,,-68
1778033687.8993049,1,,,37.03,,,-63
1778033688.30718,1,,,37.04,,,-59
1778033688.814875,1,,,37.04,,,-60
